"gaul1_code","map_code","gaul0_name","gaul1_name","continent","disp_en"
"3229","VNM","Viet Nam","Ha Tinh","Asia","Ha Tinh, Viet Nam"
"2445","AZE","Azerbaijan","Absheron-Khizi Economic Region","Asia","Absheron-Khizi Economic Region, Azerbaijan"
"1029","DZA","Algeria","Mila","Africa","Mila, Algeria"
"3019","THA","Thailand","Chumphon","Asia","Chumphon, Thailand"
"1623","SSD","South Sudan","Upper Nile","Africa","Upper Nile, South Sudan"
"1019","DZA","Algeria","El-Tarf","Africa","El-Tarf, Algeria"
"1083","BWA","Botswana","Central","Africa","Central, Botswana"
"3307","AND","Andorra","La Massana","Europe","La Massana, Andorra"
"2006","ECU","Ecuador","Pastaza","America","Pastaza, Ecuador"
"1183","COM","Comoros","Anjouan (Ndzouani)","Africa","Anjouan (Ndzouani), Comoros"
"1354","KEN","Kenya","Bomet","Africa","Bomet, Kenya"
"1967","CUB","Cuba","Santiago De Cuba","America","Santiago De Cuba, Cuba"
"3225","VNM","Viet Nam","Gia Lai","Asia","Gia Lai, Viet Nam"
"1501","NAM","Namibia","Kunene","Africa","Kunene, Namibia"
"1016","DZA","Algeria","Djelfa","Africa","Djelfa, Algeria"
"1966","CUB","Cuba","Sancti Spíritus","America","Sancti Spíritus, Cuba"
"3581","ITA","Italy","Marche","Europe","Marche, Italy"
"1122","BDI","Burundi","Kirundo","Africa","Kirundo, Burundi"
"2287","TTO","Trinidad And Tobago","San Fernando","America","San Fernando, Trinidad And Tobago"
"2020","SLV","El Salvador","Morazán","America","Morazán, El Salvador"
"3205","VNM","Viet Nam","An Giang","Asia","An Giang, Viet Nam"
"1407","LSO","Lesotho","Qacha'S Nek","Africa","Qacha'S Nek, Lesotho"
"3030","THA","Thailand","Maha Sarakham","Asia","Maha Sarakham, Thailand"
"3569","IMN","Isle of Man","Ramsey","Europe","Ramsey, Isle of Man"
"4004","MHL","Marshall Islands","Administrative Unit Not Available","Oceania","Marshall Islands"
"3593","JEY","Jersey","Grouville","Europe","Grouville, Jersey"
"3786","ROU","Romania","Caras-Severin","Europe","Caras-Severin, Romania"
"1009","DZA","Algeria","Biskra","Africa","Biskra, Algeria"
"1663","TUN","Tunisia","Manouba","Africa","Manouba, Tunisia"
"2024","SLV","El Salvador","Santa Ana","America","Santa Ana, El Salvador"
"1997","ECU","Ecuador","Galapagos","America","Galapagos, Ecuador"
"2340","USA","United States of America","Pennsylvania","America","Pennsylvania, United States of America"
