gaul2_code,map_code,gaul0_name,gaul1_name,gaul2_name,continent,disp_en
131423,THA,Thailand,Sa Kaeo,Watthana Nakhon,Asia,"Watthana Nakhon, Sa Kaeo, Thailand"
131424,THA,Thailand,Sakon Nakhon,Akat Amnuai,Asia,"Akat Amnuai, Sakon Nakhon, Thailand"
131425,THA,Thailand,Sakon Nakhon,Ban Muang,Asia,"Ban Muang, Sakon Nakhon, Thailand"
131426,THA,Thailand,Sakon Nakhon,Charoen Sin,Asia,"Charoen Sin, Sakon Nakhon, Thailand"
131427,THA,Thailand,Sakon Nakhon,Kham Ta Kla,Asia,"Kham Ta Kla, Sakon Nakhon, Thailand"
131428,THA,Thailand,Sakon Nakhon,Khok Si Suphan,Asia,"Khok Si Suphan, Sakon Nakhon, Thailand"
131429,THA,Thailand,Sakon Nakhon,Kusuman,Asia,"Kusuman, Sakon Nakhon, Thailand"
131430,THA,Thailand,Sakon Nakhon,Kut Bak,Asia,"Kut Bak, Sakon Nakhon, Thailand"
131431,THA,Thailand,Sakon Nakhon,Mueang Sakon Nakhon,Asia,"Mueang Sakon Nakhon, Sakon Nakhon, Thailand"
132350,TUR,Türkiye,Kirklareli,Pinarhisar,Asia,"Pinarhisar, Kirklareli, Türkiye"
131434,THA,Thailand,Sakon Nakhon,Phanna Nikhom,Asia,"Phanna Nikhom, Sakon Nakhon, Thailand"
131435,THA,Thailand,Sakon Nakhon,Phon Na Kaeo,Asia,"Phon Na Kaeo, Sakon Nakhon, Thailand"
131438,THA,Thailand,Sakon Nakhon,Song Dao,Asia,"Song Dao, Sakon Nakhon, Thailand"
131436,THA,Thailand,Sakon Nakhon,Phu Phan,Asia,"Phu Phan, Sakon Nakhon, Thailand"
131437,THA,Thailand,Sakon Nakhon,Sawang Daen Din,Asia,"Sawang Daen Din, Sakon Nakhon, Thailand"
131439,THA,Thailand,Sakon Nakhon,Tao Ngoi,Asia,"Tao Ngoi, Sakon Nakhon, Thailand"
131440,THA,Thailand,Sakon Nakhon,Wanon Niwat,Asia,"Wanon Niwat, Sakon Nakhon, Thailand"
131441,THA,Thailand,Sakon Nakhon,Waritchaphum,Asia,"Waritchaphum, Sakon Nakhon, Thailand"
131443,THA,Thailand,Samut Prakan,Bang Phli,Asia,"Bang Phli, Samut Prakan, Thailand"
131442,THA,Thailand,Samut Prakan,Bang Bo,Asia,"Bang Bo, Samut Prakan, Thailand"
131444,THA,Thailand,Samut Prakan,Bang Sao Thong,Asia,"Bang Sao Thong, Samut Prakan, Thailand"
131445,THA,Thailand,Samut Prakan,Mueang Samut Prakan,Asia,"Mueang Samut Prakan, Samut Prakan, Thailand"
131446,THA,Thailand,Samut Prakan,Phra Pradaeng,Asia,"Phra Pradaeng, Samut Prakan, Thailand"
